0,1,2,3
BENZO,R644,BENZO2,R639
BENZO,R644,BENZO2,R640
BENZO,R644,BENZO2,R641
BENZO,R644,BENZO2,R648
R431,OH,R440,HC5A
R431,OH,R441,HC5A
R559,MVKOHOO,R571,HO2
R559,OH,R14,HO2
R559,OH,R21,HO2
R559,OH,R24,HO2
R559,OH,R31,HO2
R559,OH,R36,HO2
R559,OH,R46,HO2
R559,OH,R49,HO2
R559,OH,R50,HO2
R559,OH,R53,HO2
R559,OH,R103,HO2
R559,OH,R104,HO2
R559,OH,R116,HO2
R559,OH,R119,HO2
R559,OH,R123,HO2
R559,OH,R167,HO2
R559,OH,R179,HO2
R559,OH,R190,HO2
R559,OH,R245,HO2
R559,OH,R254,HO2
R559,OH,R255,HO2
R559,OH,R433,HO2
R559,OH,R438,HO2
R559,OH,R439,HO2
R559,OH,R440,HO2
R559,OH,R441,HO2
R559,OH,R454,HO2
R559,OH,R455,HO2
R559,OH,R457,HO2
R559,OH,R485,HO2
R559,OH,R486,HO2
R559,OH,R541,HO2
R559,OH,R549,HO2
R559,OH,R564,HO2
R559,OH,R566,HO2
R559,OH,R568,HO2
R559,OH,R569,HO2
R559,OH,R589,HO2
R559,OH,R590,HO2
R559,OH,R594,HO2
R559,OH,R597,HO2
R559,OH,R606,HO2
R559,OH,R616,HO2
R559,OH,R617,HO2
R559,OH,R618,HO2
R559,OH,R624,HO2
R559,OH,R626,HO2
R559,OH,R650,HO2
R166,HNO3,R38,NO3
R591,IDHPE,R592,OH
R591,IDHPE,R903,OH
R591,ICPDH,R900,OH
R591,ICPDH,R901,OH
R4N1,R88,R4N2,R77
R628,AROMP4,R651,OH
R628,AROMRO2,R619,OH
R902,HO2,R445,IDHDP
R902,HO2,R449,IDHDP
R902,HO2,R453,IDHDP
R764,CO,R338,CH2O
R210,NO2,R16,NO3
R210,NO2,R212,NO3
R210,NO2,R221,O
R210,NO2,R340,NO3
R210,NO2,R347,NO3
R210,NO2,R639,NO3
R210,NO2,R760,O
R344,SO4,R854,SO2
R508,INPD,R530,INO2D
R508,INPD,R896,HO2
R447,NO2,R51,NO
R447,NO2,R209,NO
R447,NO2,R760,NO
R206,O,R200,O3
R615,GLYC,R117,OH
R615,GLYC,R779,OH
MEK,R93,KO2,R100
MEK,R93,KO2,R152
MEK,R96,KO2,R100
MEK,R96,KO2,R152
MEK,R778,MCO3,R144
MEK,R778,MCO3,R150
