species index (starts from 1),from,to,stoichiometric value 
270,R57,NO2,1.000000
280,NO,R57,1.000000
157,C2H6,R58,1.000000
213,R58,ETO2,1.000000
273,R58,H2O,1.000000
279,OH,R58,1.000000
213,ETO2,R59,1.000000
261,R59,ALD2,1.000000
270,R59,NO2,1.000000
280,NO,R59,1.000000
281,R59,HO2,1.000000
88,R60,ETNO3,1.000000
213,ETO2,R60,1.000000
280,NO,R60,1.000000
235,OTHRO2,R61,1.000000
261,R61,ALD2,1.000000
270,R61,NO2,1.000000
280,NO,R61,1.000000
281,R61,HO2,1.000000
121,C3H8,R62,1.000000
253,R62,B3O2,1.000000
279,OH,R62,1.000000
121,C3H8,R63,1.000000
233,R63,A3O2,1.000000
279,OH,R63,1.000000
233,A3O2,R64,1.000000
255,R64,RCHO,1.000000
270,R64,NO2,1.000000
280,NO,R64,1.000000
281,R64,HO2,1.000000
89,R65,NPRNO3,1.000000
233,A3O2,R65,1.000000
280,NO,R65,1.000000
204,PO2,R66,1.000000
261,R66,ALD2,1.000000
262,R66,CH2O,1.000000
270,R66,NO2,1.000000
280,NO,R66,1.000000
281,R66,HO2,1.000000
113,ALK4,R67,1.000000
252,R67,R4O2,1.000000
279,OH,R67,1.000000
219,R68,ACET,0.320000
222,R68,MEK,0.190000
233,R68,A3O2,0.050000
235,R68,OTHRO2,0.320000
252,R4O2,R68,1.000000
253,R68,B3O2,0.180000
255,R68,RCHO,0.140000
261,R68,ALD2,0.320000
263,R68,MO2,0.190000
270,R68,NO2,1.000000
280,NO,R68,1.000000
281,R68,HO2,0.270000
198,R69,R4N2,1.000000
252,R4O2,R69,1.000000
280,NO,R69,1.000000
251,R4N1,R70,1.000000
255,R70,RCHO,0.570000
261,R70,ALD2,0.860000
262,R70,CH2O,0.570000
270,R70,NO2,2.000000
280,NO,R70,1.000000
248,ATO2,R71,1.000000
257,R71,MCO3,1.000000
262,R71,CH2O,1.000000
270,R71,NO2,1.000000
280,NO,R71,1.000000
198,R72,R4N2,0.070000
249,KO2,R72,1.000000
257,R72,MCO3,0.930000
261,R72,ALD2,0.930000
270,R72,NO2,0.930000
280,NO,R72,1.000000
219,R73,ACET,1.000000
253,B3O2,R73,1.000000
270,R73,NO2,1.000000
280,NO,R73,1.000000
281,R73,HO2,1.000000
86,R74,IPRNO3,1.000000
253,B3O2,R74,1.000000
280,NO,R74,1.000000
197,PRN1,R75,1.000000
261,R75,ALD2,1.000000
262,R75,CH2O,1.000000
270,R75,NO2,2.000000
280,NO,R75,1.000000
113,ALK4,R76,1.000000
252,R76,R4O2,1.000000
260,R76,HNO3,1.000000
283,NO3,R76,1.000000
198,R4N2,R77,1.000000
251,R77,R4N1,1.000000
273,R77,H2O,1.000000
279,OH,R77,1.000000
6,R78,CO2,1.000000
215,ACTA,R78,1.000000
263,R78,MO2,1.000000
273,R78,H2O,1.000000
279,OH,R78,1.000000
250,R79,RCO3,1.000000
255,RCHO,R79,1.000000
273,R79,H2O,1.000000
279,OH,R79,1.000000
49,R80,PPN,1.000000
250,RCO3,R80,1.000000
270,NO2,R80,1.000000
49,PPN,R81,1.000000
250,R81,RCO3,1.000000
270,R81,NO2,1.000000
233,R82,A3O2,0.070000
235,R82,OTHRO2,0.500000
250,RCO3,R82,1.000000
253,R82,B3O2,0.270000
270,R82,NO2,1.000000
280,NO,R82,1.000000
250,R83,RCO3,1.000000
255,RCHO,R83,1.000000
260,R83,HNO3,1.000000
283,NO3,R83,1.000000
219,ACET,R84,1.000000
248,R84,ATO2,1.000000
273,R84,H2O,1.000000
279,OH,R84,1.000000
154,R85,ROH,0.250000
214,R85,MOH,0.250000
233,A3O2,R85,1.000000
255,R85,RCHO,0.750000
262,R85,CH2O,0.750000
263,MO2,R85,1.000000
281,R85,HO2,1.000000
154,R86,ROH,0.250000
204,PO2,R86,1.000000
214,R86,MOH,0.250000
246,R86,HAC,0.160000
255,R86,RCHO,0.090000
261,R86,ALD2,0.500000
262,R86,CH2O,1.250000
263,MO2,R86,1.000000
281,R86,HO2,1.000000
91,R87,R4P,1.000000
252,R4O2,R87,1.000000
281,HO2,R87,1.000000
198,R88,R4N2,1.000000
251,R4N1,R88,1.000000
281,HO2,R88,1.000000
193,R89,ATOOH,0.850000
248,ATO2,R89,1.000000
257,R89,MCO3,0.150000
262,R89,CH2O,0.150000
279,R89,OH,0.150000
281,HO2,R89,1.000000
193,R90,ATOOH,0.850000
249,KO2,R90,1.000000
257,R90,MCO3,0.150000
261,R90,ALD2,0.150000
279,R90,OH,0.150000
281,HO2,R90,1.000000
93,R91,RB3P,1.000000
253,B3O2,R91,1.000000
281,HO2,R91,1.000000
112,R92,PRPN,1.000000
197,PRN1,R92,1.000000
281,HO2,R92,1.000000
222,MEK,R93,1.000000
249,R93,KO2,1.000000
273,R93,H2O,1.000000
279,OH,R93,1.000000
129,R94,EOH,0.250000
213,ETO2,R94,1.000000
214,R94,MOH,0.250000
261,R94,ALD2,0.750000
262,R94,CH2O,0.750000
263,MO2,R94,1.000000
281,R94,HO2,1.000000
129,R95,EOH,0.250000
