species index (starts from 1),from,to,stoichiometric value 
272,HBr,R225,0.800000
274,R225,BrO,0.150000
279,R225,OH,0.650000
284,R225,O,0.200000
287,R225,Br,0.650000
192,Cl2,R226,0.750000
268,O1D,R226,1.000000
277,R226,ClO,0.750000
284,R226,O,0.250000
285,R226,Cl,0.750000
51,CCl4,R227,0.860000
268,O1D,R227,1.000000
277,R227,ClO,0.860000
284,R227,O,0.140000
285,R227,Cl,2.580000
97,CH3Br,R228,1.000000
263,R228,MO2,1.000000
268,O1D,R228,1.000000
274,R228,BrO,0.440000
287,R228,Br,0.560000
70,CH2Br2,R229,0.950000
268,O1D,R229,1.000000
274,R229,BrO,0.950000
284,R229,O,0.050000
287,R229,Br,0.950000
74,CHBr3,R230,0.680000
268,O1D,R230,1.000000
274,R230,BrO,0.680000
284,R230,O,0.320000
287,R230,Br,1.360000
81,HCFC22,R231,0.720000
268,O1D,R231,1.000000
277,R231,ClO,0.550000
284,R231,O,0.280000
285,R231,Cl,0.170000
52,CFC11,R232,0.880000
268,O1D,R232,1.000000
277,R232,ClO,0.880000
284,R232,O,0.120000
285,R232,Cl,1.760000
53,CFC12,R233,0.860000
268,O1D,R233,1.000000
277,R233,ClO,0.860000
284,R233,O,0.140000
285,R233,Cl,0.860000
55,H1211,R234,0.640000
268,O1D,R234,1.000000
274,R234,BrO,0.310000
277,R234,ClO,0.330000
284,R234,O,0.360000
285,R234,Cl,0.310000
287,R234,Br,0.330000
44,H1301,R235,0.410000
268,O1D,R235,1.000000
274,R235,BrO,0.410000
284,R235,O,0.590000
79,HCFC141b,R236,0.690000
268,O1D,R236,1.000000
277,R236,ClO,0.690000
284,R236,O,0.310000
285,R236,Cl,0.690000
80,HCFC142b,R237,0.740000
268,O1D,R237,1.000000
277,R237,ClO,0.740000
284,R237,O,0.260000
78,HCFC123,R238,0.790000
268,O1D,R238,1.000000
277,R238,ClO,0.790000
284,R238,O,0.210000
285,R238,Cl,0.790000
48,CFC113,R239,0.750000
268,O1D,R239,1.000000
277,R239,ClO,0.750000
284,R239,O,0.250000
285,R239,Cl,1.500000
42,CFC114,R240,0.750000
268,O1D,R240,1.000000
277,R240,ClO,0.750000
284,R240,O,0.250000
285,R240,Cl,0.750000
46,CFC115,R241,0.300000
268,O1D,R241,1.000000
277,R241,ClO,0.300000
284,R241,O,0.700000
45,H2402,R242,0.750000
268,O1D,R242,1.000000
274,R242,BrO,0.750000
284,R242,O,0.250000
287,R242,Br,0.750000
192,Cl2,R243,1.000000
267,R243,HOCl,1.000000
279,OH,R243,1.000000
285,R243,Cl,1.000000
103,R244,ClOO,1.000000
262,R244,CH2O,1.000000
263,MO2,R244,1.000000
277,ClO,R244,1.000000
281,R244,HO2,1.000000
277,ClO,R245,1.000000
279,OH,R245,1.000000
281,R245,HO2,1.000000
285,R245,Cl,1.000000
271,R246,HCl,1.000000
277,ClO,R246,1.000000
279,OH,R246,1.000000
107,OClO,R247,1.000000
267,R247,HOCl,1.000000
279,OH,R247,1.000000
72,Cl2O2,R248,1.000000
103,R248,ClOO,1.000000
267,R248,HOCl,1.000000
279,OH,R248,1.000000
271,HCl,R249,1.000000
273,R249,H2O,1.000000
279,OH,R249,1.000000
285,R249,Cl,1.000000
267,HOCl,R250,1.000000
273,R250,H2O,1.000000
277,R250,ClO,1.000000
279,OH,R250,1.000000
231,ClNO2,R251,1.000000
267,R251,HOCl,1.000000
270,R251,NO2,1.000000
279,OH,R251,1.000000
259,ClNO3,R252,1.000000
267,R252,HOCl,1.000000
279,OH,R252,1.000000
283,R252,NO3,1.000000
100,CH3Cl,R253,1.000000
273,R253,H2O,1.000000
279,OH,R253,1.000000
281,R253,HO2,1.000000
285,R253,Cl,1.000000
73,CH2Cl2,R254,1.000000
279,OH,R254,1.000000
281,R254,HO2,1.000000
285,R254,Cl,2.000000
68,CHCl3,R255,1.000000
279,OH,R255,1.000000
281,R255,HO2,1.000000
285,R255,Cl,3.000000
39,CH3CCl3,R256,1.000000
273,R256,H2O,1.000000
279,OH,R256,1.000000
285,R256,Cl,3.000000
81,HCFC22,R257,1.000000
273,R257,H2O,1.000000
279,OH,R257,1.000000
285,R257,Cl,1.000000
79,HCFC141b,R258,1.000000
273,R258,H2O,1.000000
279,OH,R258,1.000000
285,R258,Cl,2.000000
80,HCFC142b,R259,1.000000
273,R259,H2O,1.000000
279,OH,R259,1.000000
285,R259,Cl,1.000000
78,HCFC123,R260,1.000000
273,R260,H2O,1.000000
279,OH,R260,1.000000
285,R260,Cl,2.000000
36,R261,LCH4,1.000000
186,CH4,R261,1.000000
263,R261,MO2,1.000000
271,R261,HCl,1.000000
285,Cl,R261,1.000000
33,R262,PCO,1.000000
258,R262,CO,1.000000
262,CH2O,R262,1.000000
271,R262,HCl,1.000000
281,R262,HO2,1.000000
285,Cl,R262,1.000000
32,R263,LOx,1.000000
269,O3,R263,1.000000
277,R263,ClO,1.000000
285,Cl,R263,1.000000
173,R264,H,1.000000
271,R264,HCl,1.000000
285,Cl,R264,1.000000
208,H2O2,R265,1.000000
271,R265,HCl,1.000000
281,R265,HO2,1.000000
285,Cl,R265,1.000000
271,R266,HCl,1.000000
281,HO2,R266,1.000000
285,Cl,R266,1.000000
277,R267,ClO,1.000000
279,R267,OH,1.000000
281,HO2,R267,1.000000
285,Cl,R267,1.000000
277,ClO,R268,1.000000
284,O,R268,1.000000
285,R268,Cl,1.000000
267,R269,HOCl,1.000000
277,ClO,R269,1.000000
281,HO2,R269,1.000000
270,R270,NO2,1.000000
277,ClO,R270,1.000000
280,NO,R270,1.000000
285,R270,Cl,1.000000
259,R271,ClNO3,1.000000
270,NO2,R271,1.000000
277,ClO,R271,1.000000
192,R272,Cl2,1.000000
277,ClO,R272,2.000000
103,R273,ClOO,1.000000
277,ClO,R273,2.000000
285,R273,Cl,1.000000
107,R274,OClO,1.000000
277,ClO,R274,2.000000
285,R274,Cl,1.000000
103,R275,ClOO,1.000000
285,Cl,R275,1.000000
103,ClOO,R276,1.000000
285,R276,Cl,1.000000
72,R277,Cl2O2,1.000000
277,ClO,R277,2.000000
72,Cl2O2,R278,1.000000
277,R278,ClO,2.000000
103,ClOO,R279,1.000000
192,R279,Cl2,1.000000
285,Cl,R279,1.000000
103,ClOO,R280,1.000000
277,R280,ClO,2.000000
285,Cl,R280,1.000000
107,R281,OClO,1.000000
274,BrO,R281,1.000000
277,ClO,R281,1.000000
287,R281,Br,1.000000
103,R282,ClOO,1.000000
274,BrO,R282,1.000000
277,ClO,R282,1.000000
287,R282,Br,1.000000
132,R283,BrCl,1.000000
274,BrO,R283,1.000000
277,ClO,R283,1.000000
259,ClNO3,R284,1.000000
277,R284,ClO,1.000000
283,R284,NO3,1.000000
284,O,R284,1.000000
192,R285,Cl2,1.000000
259,ClNO3,R285,1.000000
283,R285,NO3,1.000000
285,Cl,R285,1.000000
33,R286,PCO,1.000000
100,CH3Cl,R286,1.000000
258,R286,CO,1.000000
271,R286,HCl,2.000000
281,R286,HO2,1.000000
285,Cl,R286,1.000000
33,R287,PCO,1.000000
73,CH2Cl2,R287,1.000000
258,R287,CO,1.000000
271,R287,HCl,1.000000
281,R287,HO2,1.000000
285,R287,Cl,1.000000
33,R288,PCO,1.000000
68,CHCl3,R288,1.000000
258,R288,CO,1.000000
271,R288,HCl,1.000000
281,R288,HO2,1.000000
285,R288,Cl,2.000000
6,R289,CO2,1.000000
207,HCOOH,R289,1.000000
271,R289,HCl,1.000000
273,R289,H2O,1.000000
285,Cl,R289,1.000000
262,R290,CH2O,1.000000
263,MO2,R290,1.000000
277,R290,ClO,1.000000
281,R290,HO2,1.000000
285,Cl,R290,1.000000
134,MP,R291,1.000000
263,R291,MO2,1.000000
271,R291,HCl,1.000000
285,Cl,R291,1.000000
157,C2H6,R292,1.000000
213,R292,ETO2,1.000000
271,R292,HCl,1.000000
285,Cl,R292,1.000000
213,ETO2,R293,1.000000
261,R293,ALD2,1.000000
277,R293,ClO,1.000000
281,R293,HO2,1.000000
285,Cl,R293,1.000000
235,OTHRO2,R294,1.000000
261,R294,ALD2,1.000000
277,R294,ClO,1.000000
281,R294,HO2,1.000000
285,Cl,R294,1.000000
214,MOH,R295,1.000000
262,R295,CH2O,1.000000
271,R295,HCl,1.000000
281,R295,HO2,1.000000
285,Cl,R295,1.000000
129,EOH,R296,1.000000
261,R296,ALD2,1.000000
271,R296,HCl,1.000000
285,Cl,R296,1.000000
6,R297,CO2,1.000000
215,ACTA,R297,1.000000
263,R297,MO2,1.000000
271,R297,HCl,1.000000
285,Cl,R297,1.000000
121,C3H8,R298,1.000000
253,R298,B3O2,1.000000
271,R298,HCl,1.000000
285,Cl,R298,1.000000
121,C3H8,R299,1.000000
233,R299,A3O2,1.000000
271,R299,HCl,1.000000
285,Cl,R299,1.000000
219,ACET,R300,1.000000
248,R300,ATO2,1.000000
271,R300,HCl,1.000000
285,Cl,R300,1.000000
220,ISOP,R301,1.000000
242,R301,IHOO1,0.500000
243,R301,IHOO4,0.500000
271,R301,HCl,1.000000
285,Cl,R301,1.000000
113,ALK4,R302,1.000000
252,R302,R4O2,1.000000
271,R302,HCl,1.000000
285,Cl,R302,1.000000
204,R303,PO2,1.000000
254,PRPE,R303,1.000000
271,R303,HCl,1.000000
285,Cl,R303,1.000000
204,R304,PO2,1.000000
254,PRPE,R304,1.000000
272,R304,HBr,1.000000
287,Br,R304,1.000000
56,R305,INO,1.000000
265,I,R305,1.000000
280,NO,R305,1.000000
56,INO,R306,2.000000
139,R306,I2,1.000000
280,R306,NO,2.000000
199,R307,IONO,1.000000
265,I,R307,1.000000
270,NO2,R307,1.000000
199,IONO,R308,1.000000
265,R308,I,1.000000
270,R308,NO2,1.000000
139,R309,I2,1.000000
199,IONO,R309,2.000000
270,R309,NO2,2.000000
139,I2,R310,1.000000
265,R310,I,1.000000
266,R310,IONO2,1.000000
283,NO3,R310,1.000000
223,IO,R311,1.000000
266,R311,IONO2,1.000000
270,NO2,R311,1.000000
223,R312,IO,1.000000
266,IONO2,R312,1.000000
270,R312,NO2,1.000000
139,R313,I2,1.000000
265,I,R313,1.000000
266,IONO2,R313,1.000000
283,R313,NO3,1.000000
223,R314,IO,1.000000
265,I,R314,1.000000
274,BrO,R314,1.000000
287,R314,Br,1.000000
223,IO,R315,1.000000
265,R315,I,1.000000
274,BrO,R315,1.000000
287,R315,Br,1.000000
90,R316,OIO,1.000000
223,IO,R316,1.000000
274,BrO,R316,1.000000
287,R316,Br,1.000000
47,R317,I2O3,1.000000
90,OIO,R317,1.000000
223,IO,R317,1.000000
38,R318,I2O4,1.000000
90,OIO,R318,2.000000
38,I2O4,R319,1.000000
90,R319,OIO,2.000000
90,OIO,R320,1.000000
223,R320,IO,1.000000
270,R320,NO2,1.000000
280,NO,R320,1.000000
107,R321,OClO,1.000000
223,IO,R321,1.000000
265,R321,I,1.000000
277,ClO,R321,1.000000
223,IO,R322,1.000000
265,R322,I,1.000000
277,ClO,R322,1.000000
285,R322,Cl,1.000000
98,R323,ICl,1.000000
223,IO,R323,1.000000
277,ClO,R323,1.000000
32,R324,LOx,1.000000
223,R324,IO,1.000000
265,I,R324,1.000000
269,O3,R324,1.000000
65,R325,HI,1.000000
265,I,R325,1.000000
281,HO2,R325,1.000000
139,I2,R326,1.000000
264,R326,HOI,1.000000
265,R326,I,1.000000
279,OH,R326,1.000000
65,HI,R327,1.000000
265,R327,I,1.000000
273,R327,H2O,1.000000
279,OH,R327,1.000000
223,R328,IO,1.000000
264,HOI,R328,1.000000
273,R328,H2O,1.000000
279,OH,R328,1.000000
223,IO,R329,1.000000
264,R329,HOI,1.000000
281,HO2,R329,1.000000
223,IO,R330,1.000000
265,R330,I,1.000000
270,R330,NO2,1.000000
280,NO,R330,1.000000
90,R331,OIO,1.000000
223,IO,R331,2.000000
265,R331,I,1.000000
40,R332,I2O2,1.000000
223,IO,R332,2.000000
40,I2O2,R333,1.000000
223,R333,IO,2.000000
40,I2O2,R334,1.000000
90,R334,OIO,1.000000
265,R334,I,1.000000
43,CH3I,R335,1.000000
263,R335,MO2,1.000000
265,R335,I,1.000000
273,R335,H2O,1.000000
279,OH,R335,1.000000
6,R336,CO2,1.000000
205,ETHLN,R336,1.000000
262,R336,CH2O,1.000000
270,R336,NO2,1.000000
279,OH,R336,1.000000
194,PROPNN,R337,1.000000
228,R337,MGLY,1.000000
270,R337,NO2,1.000000
279,OH,R337,1.000000
34,R338,LCO,1.000000
230,CH2OO,R338,1.000000
258,CO,R338,1.000000
262,R338,CH2O,1.000000
230,CH2OO,R339,1.000000
262,R339,CH2O,1.000000
270,R339,NO2,1.000000
280,NO,R339,1.000000
230,CH2OO,R340,1.000000
262,R340,CH2O,1.000000
270,NO2,R340,1.000000
283,R340,NO3,1.000000
37,R341,PH2O2,0.060000
83,R341,HMHP,0.730000
207,R341,HCOOH,0.210000
208,R341,H2O2,0.060000
230,CH2OO,R341,1.000000
262,R341,CH2O,0.060000
273,H2O,R341,1.000000
37,R342,PH2O2,0.060000
83,R342,HMHP,0.400000
207,R342,HCOOH,0.540000
208,R342,H2O2,0.060000
230,CH2OO,R342,1.000000
262,R342,CH2O,0.060000
273,H2O,R342,2.000000
32,R343,LOx,1.000000
230,CH2OO,R343,1.000000
262,R343,CH2O,1.000000
269,O3,R343,1.000000
35,R344,PSO4,1.000000
108,R344,SO4,1.000000
230,CH2OO,R344,1.000000
262,R344,CH2O,1.000000
286,SO2,R344,1.000000
34,R345,LCO,1.000000
191,CH3CHOO,R345,1.000000
258,CO,R345,1.000000
261,R345,ALD2,1.000000
191,CH3CHOO,R346,1.000000
261,R346,ALD2,1.000000
270,R346,NO2,1.000000
280,NO,R346,1.000000
191,CH3CHOO,R347,1.000000
261,R347,ALD2,1.000000
270,NO2,R347,1.000000
283,R347,NO3,1.000000
35,R348,PSO4,1.000000
108,R348,SO4,1.000000
191,CH3CHOO,R348,1.000000
261,R348,ALD2,1.000000
286,SO2,R348,1.000000
37,R349,PH2O2,1.000000
191,CH3CHOO,R349,1.000000
208,R349,H2O2,1.000000
261,R349,ALD2,1.000000
273,H2O,R349,1.000000
191,CH3CHOO,R350,1.000000
215,R350,ACTA,1.000000
273,H2O,R350,1.000000
150,MTPA,R351,1.000000
234,R351,PIO2,1.000000
279,OH,R351,1.000000
151,MTPO,R352,1.000000
234,R352,PIO2,1.000000
279,OH,R352,1.000000
174,R353,MONITS,0.120000
196,R353,MONITU,0.060000
207,R353,HCOOH,0.070000
219,R353,ACET,0.110000
222,R353,MEK,0.440000
234,PIO2,R353,1.000000
255,R353,RCHO,0.430000
262,R353,CH2O,0.230000
270,R353,NO2,0.820000
280,NO,R353,1.000000
281,R353,HO2,0.820000
119,R354,PIP,1.000000
234,PIO2,R354,1.000000
281,HO2,R354,1.000000
154,R355,ROH,0.250000
214,R355,MOH,0.250000
222,R355,MEK,0.750000
234,PIO2,R355,1.000000
255,R355,RCHO,0.750000
262,R355,CH2O,0.750000
263,MO2,R355,1.000000
281,R355,HO2,1.000000
222,R356,MEK,1.000000
234,PIO2,R356,1.000000
255,R356,RCHO,1.000000
257,MCO3,R356,1.000000
263,R356,MO2,0.500000
281,R356,HO2,0.500000
222,R357,MEK,1.000000
234,PIO2,R357,1.000000
255,R357,RCHO,1.000000
270,R357,NO2,1.000000
281,R357,HO2,1.000000
283,NO3,R357,1.000000
32,R358,LOx,1.000000
33,R358,PCO,0.140000
37,R358,PH2O2,0.020000
150,MTPA,R358,1.000000
208,R358,H2O2,0.020000
222,R358,MEK,0.530000
249,R358,KO2,0.620000
255,R358,RCHO,0.650000
258,R358,CO,0.140000
269,O3,R358,1.000000
279,R358,OH,0.850000
281,R358,HO2,0.100000
32,R359,LOx,1.000000
33,R359,PCO,0.140000
37,R359,PH2O2,0.020000
151,MTPO,R359,1.000000
208,R359,H2O2,0.020000
222,R359,MEK,0.530000
249,R359,KO2,0.620000
255,R359,RCHO,0.650000
258,R359,CO,0.140000
269,O3,R359,1.000000
279,R359,OH,0.850000
281,R359,HO2,0.100000
150,MTPA,R360,1.000000
211,R360,OLNN,0.100000
212,R360,OLND,0.900000
283,NO3,R360,1.000000
151,MTPO,R361,1.000000
211,R361,OLNN,0.100000
212,R361,OLND,0.900000
283,NO3,R361,1.000000
165,LIMO,R362,1.000000
221,R362,LIMO2,1.000000
279,OH,R362,1.000000
32,R363,LOx,1.000000
33,R363,PCO,0.140000
37,R363,PH2O2,0.020000
165,LIMO,R363,1.000000
207,R363,HCOOH,0.010000
208,R363,H2O2,0.020000
235,R363,OTHRO2,0.160000
247,R363,MACR,0.790000
249,R363,KO2,0.420000
254,R363,PRPE,0.460000
258,R363,CO,0.140000
262,R363,CH2O,0.040000
269,O3,R363,1.000000
279,R363,OH,0.850000
281,R363,HO2,0.100000
165,LIMO,R364,1.000000
211,R364,OLNN,0.500000
212,R364,OLND,0.500000
283,NO3,R364,1.000000
196,R365,MONITU,0.220000
221,LIMO2,R365,1.000000
222,R365,MEK,0.289000
246,R365,HAC,0.058000
254,R365,PRPE,0.289000
255,R365,RCHO,0.491000
262,R365,CH2O,0.231000
270,R365,NO2,0.780000
280,NO,R365,1.000000
281,R365,HO2,0.686000
119,R366,PIP,1.000000
221,LIMO2,R366,1.000000
281,HO2,R366,1.000000
154,R367,ROH,0.250000
214,R367,MOH,0.250000
221,LIMO2,R367,1.000000
247,R367,MACR,0.308000
254,R367,PRPE,0.192000
262,R367,CH2O,1.040000
263,MO2,R367,1.000000
281,R367,HO2,1.000000
221,LIMO2,R368,1.000000
247,R368,MACR,0.308000
254,R368,PRPE,0.192000
257,MCO3,R368,1.000000
262,R368,CH2O,0.385000
263,R368,MO2,0.500000
281,R368,HO2,0.500000
221,LIMO2,R369,1.000000
247,R369,MACR,0.615000
254,R369,PRPE,0.385000
262,R369,CH2O,0.385000
270,R369,NO2,1.000000
281,R369,HO2,1.000000
283,NO3,R369,1.000000
119,PIP,R370,1.000000
222,R370,MEK,0.410000
252,R370,R4O2,0.440000
255,R370,RCHO,0.080000
279,OH,R370,0.510000
174,R371,MONITS,1.000000
211,OLNN,R371,1.000000
270,R371,NO2,1.000000
280,NO,R371,1.000000
281,R371,HO2,1.000000
212,OLND,R372,1.000000
222,R372,MEK,0.464000
255,R372,RCHO,1.240000
262,R372,CH2O,0.287000
270,R372,NO2,2.000000
280,NO,R372,1.000000
174,R373,MONITS,0.700000
196,R373,MONITU,0.300000
211,OLNN,R373,1.000000
281,HO2,R373,1.000000
174,R374,MONITS,0.700000
196,R374,MONITU,0.300000
212,OLND,R374,1.000000
281,HO2,R374,1.000000
174,R375,MONITS,0.700000
196,R375,MONITU,0.300000
211,OLNN,R375,1.000000
262,R375,CH2O,1.000000
263,MO2,R375,1.000000
281,R375,HO2,2.000000
154,R376,ROH,0.250000
174,R376,MONITS,0.350000
196,R376,MONITU,0.150000
212,OLND,R376,1.000000
214,R376,MOH,0.250000
222,R376,MEK,0.348000
255,R376,RCHO,0.930000
262,R376,CH2O,0.965000
263,MO2,R376,1.000000
270,R376,NO2,0.500000
281,R376,HO2,0.500000
174,R377,MONITS,0.700000
196,R377,MONITU,0.300000
211,OLNN,R377,1.000000
257,MCO3,R377,1.000000
263,R377,MO2,1.000000
281,R377,HO2,1.000000
212,OLND,R378,1.000000
222,R378,MEK,0.464000
255,R378,RCHO,1.240000
257,MCO3,R378,1.000000
262,R378,CH2O,0.287000
263,R378,MO2,0.500000
270,R378,NO2,1.000000
174,R379,MONITS,0.700000
196,R379,MONITU,0.300000
211,OLNN,R379,1.000000
270,R379,NO2,1.000000
281,R379,HO2,1.000000
283,NO3,R379,1.000000
212,OLND,R380,1.000000
222,R380,MEK,0.464000
255,R380,RCHO,1.240000
262,R380,CH2O,0.287000
270,R380,NO2,2.000000
283,NO3,R380,1.000000
174,R381,MONITS,1.400000
196,R381,MONITU,0.600000
211,OLNN,R381,2.000000
281,R381,HO2,1.000000
174,R382,MONITS,1.050000
196,R382,MONITU,0.450000
211,OLNN,R382,1.000000
212,OLND,R382,1.000000
222,R382,MEK,0.149000
255,R382,RCHO,0.640000
262,R382,CH2O,0.202000
270,R382,NO2,0.500000
281,R382,HO2,0.500000
174,R383,MONITS,0.700000
196,R383,MONITU,0.300000
212,OLND,R383,2.000000
222,R383,MEK,0.285000
255,R383,RCHO,1.210000
262,R383,CH2O,0.504000
270,R383,NO2,1.000000
131,R384,HONIT,1.000000
174,MONITS,R384,1.000000
279,OH,R384,1.000000
131,R385,HONIT,1.000000
196,MONITU,R385,1.000000
279,OH,R385,1.000000
32,R386,LOx,1.000000
131,R386,HONIT,1.000000
196,MONITU,R386,1.000000
269,O3,R386,1.000000
131,R387,HONIT,1.000000
196,MONITU,R387,1.000000
283,NO3,R387,1.000000
131,R388,HONIT,1.000000
174,MONITS,R388,1.000000
283,NO3,R388,1.000000
7,R389,INDIOL,1.000000
96,IONITA,R389,1.000000
260,R389,HNO3,1.000000
7,R390,INDIOL,1.000000
41,MONITA,R390,1.000000
260,R390,HNO3,1.000000
131,HONIT,R391,1.000000
246,R391,HAC,1.000000
279,OH,R391,1.000000
283,R391,NO3,1.000000
87,MENO3,R392,1.000000
262,R392,CH2O,1.000000
270,R392,NO2,1.000000
279,OH,R392,1.000000
88,ETNO3,R393,1.000000
261,R393,ALD2,1.000000
270,R393,NO2,1.000000
279,OH,R393,1.000000
86,IPRNO3,R394,1.000000
219,R394,ACET,1.000000
270,R394,NO2,1.000000
279,OH,R394,1.000000
89,NPRNO3,R395,1.000000
255,R395,RCHO,1.000000
270,R395,NO2,1.000000
279,OH,R395,1.000000
6,R396,CO2,0.407000
32,R396,LOx,1.000000
33,R396,PCO,0.407000
37,R396,PH2O2,0.013000
208,R396,H2O2,0.013000
220,ISOP,R396,1.000000
230,R396,CH2OO,0.580000
244,R396,MVK,0.177000
247,R396,MACR,0.416000
258,R396,CO,0.407000
262,R396,CH2O,0.827000
263,R396,MO2,0.407000
269,O3,R396,1.000000
279,R396,OH,0.280000
281,R396,HO2,0.160000
13,R397,LISOPOH,1.000000
220,ISOP,R397,1.000000
242,R397,IHOO1,1.000000
279,OH,R397,1.000000
13,R398,LISOPOH,1.000000
220,ISOP,R398,1.000000
243,R398,IHOO4,1.000000
279,OH,R398,1.000000
13,R399,LISOPOH,1.000000
33,R399,PCO,0.600000
125,R399,HPALD3,0.150000
168,R399,HPETHNL,0.300000
182,R399,HPALD1,0.250000
220,ISOP,R399,1.000000
228,R399,MGLY,0.300000
257,R399,MCO3,0.300000
258,R399,CO,0.600000
262,R399,CH2O,0.300000
279,R399,OH,0.500000
281,R399,HO2,0.400000
13,R400,LISOPOH,1.000000
33,R400,PCO,0.900000
126,R400,HPALD4,0.150000
184,R400,HPALD2,0.250000
193,R400,ATOOH,0.300000
220,ISOP,R400,1.000000
228,R400,MGLY,0.300000
258,R400,CO,0.900000
262,R400,CH2O,0.300000
279,R400,OH,0.500000
281,R400,HO2,0.700000
153,R401,RIPA,0.937000
242,IHOO1,R401,1.000000
244,R401,MVK,0.063000
262,R401,CH2O,0.063000
279,R401,OH,0.063000
281,HO2,R401,0.937000
167,R402,RIPC,1.000000
242,IHOO1,R402,1.000000
281,HO2,R402,1.000000
158,R403,RIPB,0.937000
243,IHOO4,R403,1.000000
247,R403,MACR,0.063000
262,R403,CH2O,0.063000
279,R403,OH,0.063000
281,HO2,R403,0.937000
161,R404,RIPD,1.000000
243,IHOO4,R404,1.000000
281,HO2,R404,1.000000
242,IHOO1,R405,1.000000
244,R405,MVK,1.000000
262,R405,CH2O,1.000000
279,R405,OH,1.000000
33,R406,PCO,0.600000
125,R406,HPALD3,0.150000
168,R406,HPETHNL,0.300000
182,R406,HPALD1,0.250000
228,R406,MGLY,0.300000
242,IHOO1,R406,1.000000
257,R406,MCO3,0.300000
258,R406,CO,0.600000
262,R406,CH2O,0.300000
279,R406,OH,1.500000
281,R406,HO2,0.400000
243,IHOO4,R407,1.000000
247,R407,MACR,1.000000
262,R407,CH2O,1.000000
279,R407,OH,1.000000
33,R408,PCO,0.900000
126,R408,HPALD4,0.150000
184,R408,HPALD2,0.250000
193,R408,ATOOH,0.300000
228,R408,MGLY,0.300000
243,IHOO4,R408,1.000000
258,R408,CO,0.900000
262,R408,CH2O,0.300000
279,R408,OH,1.500000
281,R408,HO2,0.700000
242,IHOO1,R409,2.000000
244,R409,MVK,2.000000
262,R409,CH2O,2.000000
281,R409,HO2,2.000000
243,IHOO4,R410,2.000000
247,R410,MACR,2.000000
262,R410,CH2O,2.000000
281,R410,HO2,2.000000
242,IHOO1,R411,1.000000
243,IHOO4,R411,1.000000
244,R411,MVK,1.000000
247,R411,MACR,1.000000
262,R411,CH2O,2.000000
281,R411,HO2,2.000000
33,R412,PCO,1.000000
189,R412,HC5A,1.000000
226,R412,MVKHP,1.000000
242,IHOO1,R412,2.000000
258,R412,CO,1.000000
279,R412,OH,1.000000
281,R412,HO2,1.000000
33,R413,PCO,1.000000
189,R413,HC5A,1.000000
227,R413,MCRHP,1.000000
243,IHOO4,R413,2.000000
258,R413,CO,1.000000
279,R413,OH,1.000000
281,R413,HO2,1.000000
33,R414,PCO,1.000000
189,R414,HC5A,1.000000
226,R414,MVKHP,0.500000
227,R414,MCRHP,0.500000
242,IHOO1,R414,1.000000
243,IHOO4,R414,1.000000
258,R414,CO,1.000000
279,R414,OH,1.000000
281,R414,HO2,1.000000
242,IHOO1,R415,1.000000
244,R415,MVK,1.000000
262,R415,CH2O,2.000000
263,MO2,R415,1.000000
281,R415,HO2,2.000000
33,R416,PCO,0.500000
189,R416,HC5A,0.500000
226,R416,MVKHP,0.500000
242,IHOO1,R416,1.000000
258,R416,CO,0.500000
262,R416,CH2O,1.000000
263,MO2,R416,1.000000
279,R416,OH,0.500000
281,R416,HO2,1.500000
243,IHOO4,R417,1.000000
247,R417,MACR,1.000000
262,R417,CH2O,2.000000
263,MO2,R417,1.000000
281,R417,HO2,2.000000
33,R418,PCO,0.500000
189,R418,HC5A,0.500000
227,R418,MCRHP,0.500000
243,IHOO4,R418,1.000000
258,R418,CO,0.500000
262,R418,CH2O,1.000000
263,MO2,R418,1.000000
279,R418,OH,0.500000
281,R418,HO2,1.500000
136,R419,IHN2,1.000000
242,IHOO1,R419,1.000000
280,NO,R419,1.000000
242,IHOO1,R420,1.000000
244,R420,MVK,1.000000
262,R420,CH2O,1.000000
270,R420,NO2,1.000000
280,NO,R420,1.000000
281,R420,HO2,1.000000
210,R421,IHN4,1.000000
242,IHOO1,R421,1.000000
280,NO,R421,1.000000
33,R422,PCO,0.550000
189,R422,HC5A,0.450000
226,R422,MVKHP,0.550000
242,IHOO1,R422,1.000000
258,R422,CO,0.550000
270,R422,NO2,1.000000
279,R422,OH,0.550000
280,NO,R422,1.000000
281,R422,HO2,0.450000
137,R423,IHN3,1.000000
243,IHOO4,R423,1.000000
280,NO,R423,1.000000
243,IHOO4,R424,1.000000
247,R424,MACR,1.000000
262,R424,CH2O,1.000000
270,R424,NO2,1.000000
280,NO,R424,1.000000
281,R424,HO2,1.000000
216,R425,IHN1,1.000000
243,IHOO4,R425,1.000000
280,NO,R425,1.000000
33,R426,PCO,0.550000
189,R426,HC5A,0.450000
227,R426,MCRHP,0.550000
243,IHOO4,R426,1.000000
258,R426,CO,0.550000
270,R426,NO2,1.000000
279,R426,OH,0.550000
280,NO,R426,1.000000
281,R426,HO2,0.450000
33,R427,PCO,0.450000
106,R427,IDC,0.150000
120,R427,HPALD1OO,0.315000
170,R427,ICHE,0.085000
182,HPALD1,R427,1.000000
226,R427,MVKHP,0.330000
228,R427,MGLY,0.085000
244,R427,MVK,0.035000
258,R427,CO,0.450000
262,R427,CH2O,0.085000
279,R427,OH,0.085000
281,R427,HO2,0.085000
33,R428,PCO,0.370000
